"id","associated_table_id:id","code","description","reference"
"catalog_sunat_1_001","1","001","DEPÓSITO EN CUENTA",
"catalog_sunat_1_002","1","002","GIRO",
"catalog_sunat_1_003","1","003","TRANSFERENCIA DE FONDOS",
"catalog_sunat_1_004","1","004","ORDEN DE PAGO",
"catalog_sunat_1_005","1","005","TARJETA DE DÉBITO",
"catalog_sunat_1_006","1","006","TARJETA DE CRÉDITO EMITIDA EN EL PAÍS POR UNA EMPRESA DEL SISTEMA FINANCIERO",
"catalog_sunat_1_007","1","007","CHEQUES CON LA CLÁUSULA DE 'NO NEGOCIABLE', 'INTRANSFERIBLES', 'NO A LA ORDEN' U OTRA EQUIVALENTE, A QUE SE REFIERE EL INCISO G) DEL ARTICULO 5° DE LA LEY",
"catalog_sunat_1_008","1","008","EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACIÓN DE UTILIZAR MEDIO DE PAGO",
"catalog_sunat_1_009","1","009","EFECTIVO, EN LOS DEMÁS CASOS",
"catalog_sunat_1_010","1","010","MEDIOS DE PAGO USADOS EN COMERCIO EXTERIOR",
"catalog_sunat_1_011","1","011","DOCUMENTOS EMITIDOS POR LAS EDPYMES Y LAS COOPERATIVAS DE AHORRO Y CRÉDITO NO AUTORIZADAS A CAPTAR DEPÓSITOS DEL PÚBLICO",
"catalog_sunat_1_012","1","012","TARJETA DE CRÉDITO EMITIDA EN EL PAÍS O EN EL EXTERIOR POR UNA EMPRESA NO PERTENECIENTE AL SISTEMA FINANCIERO, CUYO OBJETO PRINCIPAL SEA LA EMISIÓN Y ADMINISTRACIÓN DE TARJETAS DE CRÉDITO",
"catalog_sunat_1_013","1","013","TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR POR EMPRESAS BANCARIAS O FINANCIERAS NO DOMICILIADAS",
"catalog_sunat_1_101","1","101","TRANSFERENCIAS - COMERCIO EXTERIOR",
"catalog_sunat_1_102","1","102","CHEQUES BANCARIOS  - COMERCIO EXTERIOR",
"catalog_sunat_1_103","1","103","ORDEN DE PAGO SIMPLE  - COMERCIO EXTERIOR",
"catalog_sunat_1_104","1","104","ORDEN DE PAGO DOCUMENTARIO  - COMERCIO EXTERIOR",
"catalog_sunat_1_105","1","105","REMESA SIMPLE  - COMERCIO EXTERIOR",
